history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2019-10-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1313,75;1330,69;1331,5;1311,03;667886226,251;0;0;2;163803130580;USD;124683177,747000
RTSI;RTSI;2019-10-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1329,37;1335,64;1346,7;1328,84;586995103,796;0;0;2;165750547701;USD;124683177,747000
RTSI;RTSI;2019-09-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1333,91;1344,13;1348,02;1331,95;536678201,601;0;0;2;166315793016;USD;124683177,747000
RTSI;RTSI;2019-09-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1347,72;1360,21;1360,58;1347,69;364491456,492;0;0;2;168037915638;USD;124683177,747000
RTSI;RTSI;2019-09-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1359,59;1353,18;1363,2;1350,05;578839035,779;0;0;2;169517850893;USD;124683177,747000
RTSI;RTSI;2019-09-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1354,01;1353,39;1354,01;1340,19;608203742,05;0;0;2;168822195741;USD;124683177,747000
RTSI;RTSI;2019-09-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1358,8;1374,41;1379,42;1355,88;626639895,618;0;0;2;169419296549;USD;124683177,747000
RTSI;RTSI;2019-09-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1373,49;1374,36;1375,32;1363,69;527448099,682;0;0;2;171251437760;USD;124683177,747000
RTSI;RTSI;2019-09-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1377,38;1376,21;1379,41;1368,43;791405726,895;0;0;2;171736725568;USD;124683177,747000
RTSI;RTSI;2019-09-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1378,06;1382,32;1386,99;1373,15;771875888,314;0;0;2;162239864988;USD;117730912,775000
RTSI;RTSI;2019-09-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1382,16;1379,67;1382,47;1375,2;586408771,241;0;0;2;162722377141;USD;117730912,775000
RTSI;RTSI;2019-09-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1381,5;1393,3;1399,36;1374,4;966156794,912;0;0;2;162645015521;USD;117730912,775000
RTSI;RTSI;2019-09-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1396,09;1376,21;1396,25;1375,57;1017109548,25;0;0;2;164363439534;USD;117730912,775000
RTSI;RTSI;2019-09-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1368,93;1360,97;1370,77;1359,46;639052253,173;0;0;2;161165296111;USD;117730912,775000
RTSI;RTSI;2019-09-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1361,05;1354,56;1364,76;1349,59;872504000,685;0;0;2;160237563283;USD;117730912,775000
