"Date","Price","Open","High","Low","Change %"
"Sep 27, 2018","65.6158","65.8054","65.9168","65.2283","-0.29%"
"Sep 28, 2018","65.5503","65.6158","65.9081","65.4028","-0.10%"
"Oct 01, 2018","64.9848","65.5503","65.7077","64.8566","-0.86%"
"Oct 02, 2018","65.5030","64.9848","65.6017","64.9848","0.80%"
"Oct 03, 2018","65.8700","65.5030","65.8844","65.3556","0.56%"
"Oct 04, 2018","67.0142","65.8700","67.0410","65.8625","1.74%"
"Oct 05, 2018","66.5795","67.0142","67.0175","66.4155","-0.65%"
"Oct 08, 2018","66.5707","66.5795","67.0719","66.5515","-0.01%"
"Oct 09, 2018","66.2607","66.5707","66.8379","66.1608","-0.47%"
"Oct 10, 2018","66.8935","66.2607","66.9000","66.0463","0.96%"
"Oct 11, 2018","66.2668","66.8935","66.9627","66.0428","-0.94%"
"Oct 12, 2018","66.1173","66.2668","66.4134","65.8928","-0.23%"
"Oct 15, 2018","65.6526","66.1173","66.1222","65.3141","-0.70%"
"Oct 16, 2018","65.3067","65.6526","65.6526","65.2490","-0.53%"
"Oct 17, 2018","65.4946","65.3067","65.6706","65.2837","0.29%"
"Oct 18, 2018","65.8044","65.4946","65.8900","65.4671","0.47%"
"Oct 19, 2018","65.4911","65.8044","65.9109","65.3512","-0.48%"
"Oct 22, 2018","65.2420","65.4911","65.5205","65.0091","-0.38%"
"Oct 23, 2018","65.5107","65.2420","65.7062","65.2342","0.41%"
"Oct 24, 2018","65.6765","65.5107","65.7761","65.0140","0.25%"
"Oct 25, 2018","65.5962","65.6765","65.8773","65.4478","-0.12%"
"Oct 26, 2018","65.7188","65.5962","65.9279","65.5294","0.19%"
"Oct 29, 2018","65.8499","65.7188","65.9376","65.4805","0.20%"
"Oct 30, 2018","65.5526","65.8499","65.8500","65.5168","-0.45%"
"Oct 31, 2018","65.8789","65.5526","65.8875","65.5338","0.50%"
"Nov 01, 2018","65.7256","65.8789","65.8789","65.5690","-0.23%"
"Nov 02, 2018","66.2021","65.7256","66.2805","65.5291","0.72%"
"Nov 06, 2018","66.1311","66.2021","66.2027","65.7600","-0.11%"
"Nov 07, 2018","66.3182","66.1311","66.3197","65.8372","0.28%"
"Nov 08, 2018","66.9029","66.3182","66.9499","66.1356","0.88%"
"Nov 09, 2018","68.1088","66.9029","68.1675","66.7741","1.80%"
"Nov 12, 2018","67.8460","68.1088","68.1171","67.3636","-0.39%"
"Nov 13, 2018","68.1147","67.8460","68.1584","67.5515","0.40%"
"Nov 14, 2018","67.0379","68.1147","68.2775","67.0164","-1.58%"
"Nov 15, 2018","65.8920","67.0379","67.0379","65.8694","-1.71%"
"Nov 16, 2018","65.9801","65.8920","66.1913","65.6848","0.13%"
"Nov 19, 2018","65.5405","65.9801","66.0983","65.4958","-0.67%"
"Nov 20, 2018","66.1682","65.5405","66.2400","65.5233","0.96%"
"Nov 21, 2018","65.6668","66.1682","66.1682","65.5329","-0.76%"
"Nov 22, 2018","65.6232","65.6668","65.7475","65.4319","-0.07%"
"Nov 23, 2018","66.1953","65.6232","66.4155","65.5718","0.87%"
"Nov 26, 2018","67.0954","66.1953","67.3258","66.1923","1.36%"
"Nov 27, 2018","67.0611","67.0954","67.3730","66.4930","-0.05%"
"Nov 28, 2018","66.9647","67.0611","67.5109","66.7872","-0.14%"
"Nov 29, 2018","66.2124","66.9647","66.9647","65.9741","-1.12%"
"Nov 30, 2018","66.9510","66.2124","67.1775","66.2102","1.12%"
"Dec 03, 2018","66.5095","66.9510","66.9510","66.1504","-0.66%"
"Dec 04, 2018","66.8401","66.5095","66.8968","66.2105","0.50%"
"Dec 05, 2018","66.5669","66.8401","66.8793","66.4720","-0.41%"
"Dec 06, 2018","66.8741","66.5669","67.1993","66.5669","0.46%"
"Dec 07, 2018","66.4006","66.8741","67.0439","66.0030","-0.71%"
